row,business_name,recipient_email,gmail_account,subject,status
1,Metrix Finanzas,metrix@metrixfinanzas.com,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
2,AIPH Ltda,gerencia@aiphltda.com,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
3,Autos Exclusivos 105,info@autos-exclusivos.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
4,C&M Consultores,comercial@cmconsultores.com.co,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
5,CCA Abogados y Consultores Tributaristas,info@cca-abogados.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
6,Centro Oftalmológico Gustavo Tamayo Fernández,consultoriogustavotamayo@gmail.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
7,Centroseguros,centroseguros@centroseguros.com.co,gmail_sleep-acerra,¿Seguimos la conversación?,DRAFTED_NOT_SENT
9,Cárdenas Vega Asesores,info@cardenasvega.com,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
10,Dental Experience,comercialdentalexperience@gmail.com,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
11,Dr. Rito Mariño,consulta@ritomarino.co,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
12,ESTUDIO180,180gradosarquitectura@gmail.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
13,EsplenDent,comercial@esplendent.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
14,GMH Auditores,info@gmhauditores.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
15,Garzón & Garzón Abogados,info@abogadosdefamiliabogota.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
16,HHC Consultores,info@hhcglobal.com,gmail_sleep-acerra,¿Seguimos la conversación?,DRAFTED_NOT_SENT
17,IMSACOL,laura.suarez@imsacol.com,gmail_flame-gliff,Un recordatorio rápido,DRAFTED_NOT_SENT
18,Integralph,info@integralph.com,gmail_ranter-slop,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
19,Julieth Bravo Wedding Planner,hello@juliethbravo.com,gmail_sleep-acerra,Sobre el correo que te envié,DRAFTED_NOT_SENT
20,La Dentistería,ladentisteria.ce@gmail.com,gmail_flame-gliff,¿Seguimos la conversación?,DRAFTED_NOT_SENT
21,Multisoluciones,asesoria@multisoluciones.com.co,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
22,Oscar Nieto Dental,onietodental@gmail.com,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
23,Pravice Abogados,servicioalcliente@pravice.co,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
24,Páez Mora & Asociados,info@paezmora.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
25,Quijano Orjuela Abogados,info@quijanoorjuelaabogados.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
26,Quinta Fachada Estudio,contacto@arquitecturainterior.com.co,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
27,RRUA Legal,info@rrulegal.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
28,Tecni,contactenos@tecni.com.co,gmail_sleep-acerra,¿Seguimos la conversación?,DRAFTED_NOT_SENT
29,The Grad School,info@thegradschool.com,gmail_flame-gliff,Un recordatorio rápido,DRAFTED_NOT_SENT
30,Tritech,info@ortomec.com.co,gmail_ranter-slop,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
31,ARQOM Arquitectura,info@arqomarquitectura.com,gmail_sleep-acerra,Sobre el correo que te envié,DRAFTED_NOT_SENT
32,ASA Seguros,recaudos@asaseguros.co,gmail_flame-gliff,¿Seguimos la conversación?,DRAFTED_NOT_SENT
33,AdyCont SAS,info@adycont.com.co,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
34,Alianza Contable,info@alianzacontable.com,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
35,Ariza Inmobiliaria & Constructora,info@arizaconstructora.com,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
36,Armonika Odontología,sonrisarmonika@gmail.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
37,Arqydiseño,comercial@arqdiseno.com.co,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
38,Arte Oral,info.cita@arteoral.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
39,COLVISA,gerencia@colvisa.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
40,CRIOLAB,agendabogota@criolab.co,gmail_sleep-acerra,¿Seguimos la conversación?,DRAFTED_NOT_SENT
41,Ciruplastia,doctormonroy@ciruplastia.com,gmail_flame-gliff,Un recordatorio rápido,DRAFTED_NOT_SENT
42,Ciudad Legal Abogados,contacto@ciudadlegalabogados.com,gmail_ranter-slop,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
43,Clínica Colombiana de Cirugía Plástica,info@fabianblanchar.com,gmail_sleep-acerra,Sobre el correo que te envié,DRAFTED_NOT_SENT
44,Clínica Dental Santa Bárbara,contacto@clinicadentalsantabarbara.com,gmail_flame-gliff,¿Seguimos la conversación?,DRAFTED_NOT_SENT
45,Colombiana de Finca Raíz,contacto@colombianadefincaraiz.co,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
46,Colore Design,comercial@coloredesign.com.co,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
47,Consorcio Contable & Tributario,contactenos@asesoriacontable.com.co,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
48,Cuerpo Arte y Palabra,psicologia.cap.bogota@gmail.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
49,DSI Arquitectos,proyectos@dsiarquitectos.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
51,Dental VIP Service,servicioalcliente@dentalvipservice.com,gmail_ranter-slop,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
52,Dientes & Sonrisa,info@dientesysonrisa.com,gmail_sleep-acerra,Sobre el correo que te envié,DRAFTED_NOT_SENT
53,Doral Colombia AC S.A.S.,copropiedades@doralcolombia.com,gmail_flame-gliff,¿Seguimos la conversación?,DRAFTED_NOT_SENT
54,Dr. Hernando Pérez Camargo,Drhernandoperezcirujano@hotmail.com,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
55,Dr. Juan Carlos León,plasticaleon@yahoo.com,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
56,Dr. Luis Carlos Burbano,drburbanocardiologo@gmail.com,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
57,Dr. Saulo Roa Odontología,sauloroco56@gmail.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
58,Dra. Gina Ardila,info@draginaardila.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
59,Estudio Clave Arquitectura,infoestudioclave@gmail.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
60,Estudio López,proyectos@estlopez.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
62,Fisioterapia Bogotá — Sandra Rincón,ft.sandrarincon@gmail.com,gmail_flame-gliff,¿Seguimos la conversación?,DRAFTED_NOT_SENT
63,Full Bodas,info@fullbodas.com,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
64,G&D Consulting Group,info@gydconsulting.com,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
65,GCS Consultores,info@consultoresgcs.com,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
66,Gil & Roa Abogados,nelsonroa@gilroaabogados.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
67,Goods y Services,licitaciones@goodsyservices.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
