#,Business Name,Industry/Niche,Bogota Location,Website,Website Problem,Business Email,Evidence/Source,Why High-Ticket Prospect,Lead Score
1,Metrix Finanzas,Asesoría financiera / banca de inversión boutique (M&A),"Av. Calle 72 #6-30, Piso 2, Chapinero, Bogotá",https://www.metrixfinanzas.com,"OUTDATED — estética anticuada tipo fintech, sin WhatsApp, sin formularios de contacto ni testimonios",metrix@metrixfinanzas.com,metrixfinanzas.com; metrixfinanzas.com/clientes (historial M&A confirmado),Banco de inversión boutique de 24 años en M&A/valoraciones — cada mandato puede valer decenas de miles de USD; el sitio subestima notoriamente a una firma con esta credibilidad.,9
2,AIPH Ltda (Administración Integral de Propiedad Horizontal),Administración de propiedad horizontal,"Calle 174A #49B-40, Bogotá D.C.",https://www.aiphltda.com/,"OUTDATED — diseño desactualizado, imágenes alojadas en Google, sin framework responsive, navegación saturada",gerencia@aiphltda.com,aiphltda.com; aiph.co/contactenos.html,Administra portafolios residenciales/comerciales grandes de PH; un solo contrato de edificio es un flujo de ingresos recurrente multianual.,8
3,Autos Exclusivos 105,Concesionario de vehículos usados premium/de lujo,"Cl. 105a #14-41, Usaquén, Bogotá",https://www.autos-exclusivos.com/,"OUTDATED — construido en la plataforma gratuita Google Sites, estética anticuada, sin testimonios, sin captura de leads moderna",info@autos-exclusivos.com,"Google Maps (4.5★, 35 reseñas); sitio web","Concesionario establecido en Usaquén (inventario real, múltiples líneas telefónicas/horarios) vendiendo vehículos de alto valor pero presentándose en un constructor gratuito Google Sites — fuerte candidato a rediseño.",8
4,C&M Consultores,Consultoría gerencial / de infraestructura,"Carrera 13 #96-67, Of. 309, Bogotá",https://cmconsultores.com.co,"LOW-CONVERSION WEBSITE — apariencia moderna pero sin WhatsApp, formularios de captura ni testimonios",comercial@cmconsultores.com.co,cmconsultores.com.co,"25+ años, proyectos públicos nombrados (RegioTram, etc.) — mandatos de altísimo valor sin mecanismo de conversión para nuevos clientes entrantes.",8
5,CCA Abogados y Consultores Tributaristas,Derecho tributario empresarial,"Calle 71 #6-21, Of. 402, Bogotá",https://www.cca-abogados.com/,"OUTDATED — sliders básicos, sin evidencia de rediseño reciente",info@cca-abogados.com,cca-abogados.com (homepage),Asesoría tributaria corporativa y litigios con la DIAN implican honorarios recurrentes de alto valor; el sitio anticuado resta confianza para negociaciones de seis cifras.,8
6,Centro Oftalmológico Gustavo Tamayo Fernández,Oftalmología privada / LASIK y cirugía corneal,"Calle 113 #7-45, Torre B, Of. 906, Bogotá",https://www.gustavotamayo.com/nosotros,"WEBSITE EXISTS BUT VERY WEAK — footer genérico tipo stock, fotos de equipo dispersas/anticuadas, sin reservas en línea ni testimonios",consultoriogustavotamayo@gmail.com,gustavotamayo.com,LASIK/PRK y trasplante de córnea son procedimientos electivos de alto ticket (miles de USD) y críticos en confianza; faltan testimonios/reservas dado lo mucho que investigan los pacientes de LASIK.,8
7,Centroseguros,Corretaje de seguros corporativos,"Centro Empresarial Cabrera, Cra 7 #84A-29, Of. 901, Bogotá",https://www.centroseguros.com.co,"LOW-CONVERSION WEBSITE — sin WhatsApp, sin testimonios, únicos CTA son enlaces de pago/SOAT",centroseguros@centroseguros.com.co,centroseguros.com.co,"Corredor de seguros corporativos con 40+ años, certificación ISO-9001 (Grupo Ilao) y cartera B2B real; el sitio es transaccional, no una herramienta de confianza comercial.",8
8,Cirujano Plástico Bogotá,Cirugía plástica,"Carrera 16 #80-77, Bogotá D.C.",https://cirujanoplasticobogota.com/,"WEBSITE EXISTS BUT VERY WEAK — imágenes placeholder SVG nunca reemplazadas, sin galería, sin testimonios, sin WhatsApp, sin cirujano nombrado pese a alegar '20 años de experiencia'",info@cirujanoplasticobogota.com,cirujanoplasticobogota.com,"Oferta integral de cirugía plástica para el mercado de Bogotá; el sitio es prácticamente una cáscara sin terminar, sin contenido de confianza.",8
9,Cárdenas Vega Asesores,Propiedad intelectual (marcas/patentes),"Cra 17 #150-52, Of. 302, Cedritos/Usaquén, Bogotá",https://www.cardenasvega.com/,"OUTDATED — plantilla tradicional, sin el pulido moderno de firmas legales líderes pese a buen contenido",info@cardenasvega.com,cardenasvega.com/index.php/contacto; civico.com (confirma oficina en Cedritos),Clientes corporativos que protegen marcas generan trabajo recurrente de alto valor; el sitio no refleja una práctica consolidada de más de una década.,8
10,Dental Experience (Dra. Sonia Osorio),"Odontología estética / diseño de sonrisa, implantes","Cra. 23 #124-87, Ed. Zentai Torre 2, Cons. 302, Usaquén, Bogotá",https://www.dentalexperience.com.co/,"WEBSITE EXISTS BUT VERY WEAK — plantilla WordPress genérica, GIFs rotos donde deberían cargar imágenes, sección de testimonios sin citas reales, correo de Gmail personal en vez de dominio propio",comercialdentalexperience@gmail.com,dentalexperience.com.co (sitio + footer),"Práctica de diseño de sonrisa con 15+ años y tecnología 3D; los rediseños completos de sonrisa cuestan miles de USD y los pacientes investigan mucho — el sitio roto/genérico perjudica la conversión de una práctica creíble.",8
11,Dr. Rito Mariño,Medicina estética/cirugía plástica,"Cra 18 #84-11 (Country) / Calle 83 #19-36, Bogotá",https://www.ritomarino.co,"OUTDATED — plantilla Avada/WordPress anticuada, navegación desordenada, sin testimonios, galería ni reservas en línea",consulta@ritomarino.co,ritomarino.co/medicina-estetica-bogota/,Cirujano plástico consolidado con dos oficinas en Bogotá; el sitio subestima la práctica.,8
12,ESTUDIO180,"Arquitectura residencial de lujo, construcción y diseño de interiores",Bogotá,https://www.estudio180.co/,"WEBSITE EXISTS BUT VERY WEAK — el contacto lleva a una cuenta de Gmail personal en lugar de un correo de marca, contradiciendo el posicionamiento 'de lujo' del sitio",180gradosarquitectura@gmail.com,estudio180.co (footer/mailto),"20 años, 120 proyectos completados, pipeline integral diseño-construcción-mobiliario — negocio claramente de alto ticket y dependiente de portafolio.",8
13,EsplenDent (Clínicas Odontológicas Bogotá),Implantología dental / cirugía maxilofacial,"Cra. 59A #136-95, Local 203, Colina Campestre (C.C. Mall 138), Bogotá",https://clinicasodontologicasbogota.com/,"OUTDATED — plantilla genérica anticuada, fotos de stock, CTAs vagos, sin testimonios, contador de estadísticas en la portada roto mostrando ceros",comercial@esplendent.com,clinicasodontologicasbogota.com/implantologia-dental-en-bogota/,Práctica de implantes/maxilofacial establecida hace 19 años — los implantes y cirugía oral están entre los procedimientos dentales de mayor ticket ($2.000–$10.000+ USD por caso); el sitio anticuado y roto es un lastre claro.,8
14,GMH Auditores,Auditoría y reestructuración empresarial (Ley 1116),"Aut. Norte Cra 45 #103-34, Of. 505, Bogotá",https://gmhauditores.com,"LOW-CONVERSION WEBSITE — diseño moderno pero sin testimonios/casos, formularios dependientes de JS",info@gmhauditores.com,gmhauditores.com,Maneja reorganización empresarial e insolvencia (Ley 1116) y auditoría estatutaria — categoría donde las señales de credibilidad importan enormemente y están ausentes.,8
15,Garzón & Garzón Abogados (Abogados de Familia Bogotá),Derecho de familia — divorcio y división de bienes de alto valor,"Calle 43A #9-98, Of. 802, Ed. Central Park 43, Bogotá",https://abogadosdefamiliabogota.com/,OUTDATED — diseño moderadamente anticuado y básico,info@abogadosdefamiliabogota.com,abogadosdefamiliabogota.com (homepage),30 años en divorcios y división de bienes matrimoniales — casos con grandes implicaciones financieras para clientes de alto patrimonio; el diseño no refleja la trayectoria de la firma.,8
