email,domain,reason,detection_method,date_detected,source_row
info@cirujanoplasticobogota.com,cirujanoplasticobogota.com,"554 5.7.1 Relay access denied (servidor mx1.hostinger.co rechaza el mensaje para este buzon especifico)",bounce_monitoring,2026-08-27,8
administracion@estudioderma.com,estudioderma.com,"550 5.1.1 address not found (buzon no existe)",bounce_monitoring,2026-08-27,61
Contacto@hygabogados1.com,hygabogados1.com,"Dominio NXDOMAIN - no existe. Error de transcripcion: el dominio real de HyG Abogados es hygabogados.com (sin el 1)",bounce_monitoring,2026-08-27,69
contactenos@hjimenezabogados.com,hjimenezabogados.com,"550 5.1.1 address not found (buzon no existe)",bounce_monitoring,2026-08-27,72
drcarolinagilmaxilofacial@gmail.com,gmail.com,"550 5.1.1 address not found (buzon no existe o mal transcrito)",bounce_monitoring,2026-08-28,101
lonja@lonjadepropiedadraiz.com,lonjadepropiedadraiz.com,"Sin registro MX en el dominio del email (lonjadepropiedadraiz.com) ni en el dominio del sitio web (lonjadepropiedadraiz.com.co) - el dominio no puede recibir correo, envio bloqueado antes de intentarlo",mx_check,2026-08-29,109
info@dentalinesas.com,dentalinesas.com,"4.4.1 - Gmail agoto los reintentos tras ~72h; el servidor de correo de dentalinesas.com no acepta conexiones (timeout en las 4 IPs/Cloudflare de ese dominio); notificacion final de fallo recibida",bounce_monitoring,2026-08-31,50
info@ladivinaboda.com,ladivinaboda.com,"4.4.1 - Gmail agoto los reintentos tras ~72h; el servidor de correo de ladivinaboda.com no acepta conexiones (timeout en las 4 IPs/Cloudflare de ese dominio); notificacion final de fallo recibida",bounce_monitoring,2026-08-31,74
contacto@dermaline.co,dermaline.co,"4.4.1 - Gmail agoto los reintentos tras ~72h; el servidor de correo de dermaline.co no acepta conexiones (timeout), notificacion final de fallo (Delivery Status Notification Failure) recibida 2026-08-31T20:51:18Z, previamente SOFT_BOUNCE desde 2026-08-29",bounce_monitoring,2026-09-01,103
contacto@rvseguros.co,rvseguros.co,"550 5.1.1 address not found (buzon no existe, envio manual detectado por rebote)",bounce_monitoring,2026-09-16,472
pedroanibal.m.m@hotmail.com,hotmail.com,"550 5.5.0 mailbox unavailable (buzon no existe, envio manual detectado por rebote)",bounce_monitoring,2026-09-16,479
servicios@ppmci.com,ppmci.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,363
caforeabogados@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,342
legalityasesores@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,234
gestion@integridadeinterventorias.com.co,integridadeinterventorias.com.co,"5.7.1 Relay access denied",bounce_monitoring,2026-09-23,210
contacto@doctorosorio.com,doctorosorio.com,"5.7.1 Relay access denied",bounce_monitoring,2026-09-23,163
arquitectosdcm@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,139
cuentauniversitariadjpadilla@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,389
info@ingeprol.com,ingeprol.com,"5.1.3 Address not found",bounce_monitoring,2026-09-23,485
rrrefrigeracionsas@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,460
info@countgroupsas.com,countgroupsas.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,433
clinicadedoloraliviarteco@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,268
chechon00@hotmail.com,hotmail.com,"5.5.0 Address not found",bounce_monitoring,2026-09-23,247
contacto@gestionesinmobiliarias.com,gestionesinmobiliarias.com,"5.1.3 Address not found",bounce_monitoring,2026-09-23,214
constructorabogota@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,140
vyvprocom@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,275
contacto@ginecologacristinahiguera.com,ginecologacristinahiguera.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,498
odontologia6estica.jireh@gmail.com,gmail.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,455
gerenciarelacioncliente@cpbroker.co,cpbroker.co,"5.4.1 blocked **",bounce_monitoring,2026-09-23,344
info@acerteqabogados.com,acerteqabogados.com,"5.1.1 Address not found",bounce_monitoring,2026-09-23,302
contacto@simae.com.co,simae.com.co,"5.1.1 Address not found",bounce_monitoring,2026-09-23,248
contacto@prgtributaristas.com,prgtributaristas.com,"554 5.7.1 Relay access denied (follow-up 1)",bounce_monitoring,2026-09-24,79
info@ortomec.com.co,ortomec.com.co,"Message rejected/blocked (follow-up 1)",bounce_monitoring,2026-09-24,30
